link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
https://www.zomato.com/pune/ram-krishna-camp-area,"Ram Krishna
                                    ",Casual Dining,Camp Area,4.3,1771,4.2,1615,"Beverages,Chinese,North Indian,Fast Food,Street Food,South Indian,",700,"Pav Bhaji, Chaat, Tea, Masala Papad, Paneer Tikka, Roti, Coffee"
https://www.zomato.com/pune/1441-pizzeria-koregaon-park,"1441 Pizzeria
                                    ",Casual Dining,Koregaon Park,4.5,515,3.5,811,"Beverages,Fast Food,Italian,Pizza,","1,000","Cheese Chilli Toast, Pesto Pizza, Tiramisu, Jalapeno Poppers, Chocolate Mousse, Gourmet Pizza, Nutella Pizza"
https://www.zomato.com/pune/symphony-pune-university,"Symphony
                                    ",Casual Dining,Pune University,4,500,4.3,3078,"Desserts,Thai,Fast Food,Continental,Kebab,Malwani,Chinese,North Indian,","1,700","Beer, Murgh Patiala, Sea Food, Cocktails, Masala Papad, Chicken Biryani, Masala Prawn"
https://www.zomato.com/pune/al-hifazat-kababs-caterers-yerawada,"Al-Hifazat Kabab's & Caterers
                                    ",Quick Bites,Yerawada,4.1,349,3.6,3392,"Chinese,Mughlai,North Indian,",400,"Tandoori Chicken, Shawarma, Chicken Seekh Kebab, Leg Tandoori, Chicken Dum Biryani, Khichda"
https://www.zomato.com/pune/kakke-da-paratha-hinjawadi,"Kakke Da Paratha
                                    ",Food Court,Hinjawadi,4.2,707,3.7,10200,"North Indian,",350,"Boondi Raita, Dal Makhani, Shahi Paneer, Rajma Chawal, Cheese Paneer Paratha, Corn Paratha, Cheesy Corn"
https://www.zomato.com/pune/famous-anda-bhurji-balewadi,"Famous Anda Bhurji
                                    ",Quick Bites,Balewadi,3.5,20,4.2,218,"North Indian,Fast Food,",200,
https://www.zomato.com/pune/puran-singh-da-dhaba-wakad,"Puran Singh Da Dhaba
                                    ",NA,Wakad,,,,,"North Indian,",300,
https://www.zomato.com/pune/noodle-house-wadgaon-sheri,"Noodle House
                                    ",NA,Wadgaon Sheri,3.9,40,,,"Chinese,",600,
https://www.zomato.com/pune/fat-panda-kondhwa,"Fat Panda
                                    ",Quick Bites,Kondhwa,3.5,28,3.2,334,"Fast Food,Burger,",350,
https://www.zomato.com/pune/priya-mg-road,"Priya
                                    ",Quick Bites,MG Road,4.3,444,4.2,434,"Beverages,Fast Food,South Indian,",300,"Masala Dosa, Dahi Vada, Medu Vada, Filtered Coffee, Idli Sambar, Tea, Upma"
https://www.zomato.com/pune/hotel-sangrilla-nigdi,"Hotel Sangrilla
                                    ",Casual Dining,Nigdi,3.8,213,4,2577,"Maharashtrian,North Indian,Chinese,",750,"Chicken Dum Biryani, Noodle, Masala Chicken Lollipop"
https://www.zomato.com/pune/marmalade-aundh,"Marmalade
                                    ",Casual Dining,Aundh,3.7,23,,,"Beverages,Desserts,Italian,","2,000",
https://www.zomato.com/pune/cake-choice-hinjawadi,"Cake Choice
                                    ",Bakery,Hinjawadi,3.8,204,,,"Desserts,Bakery,",350,
https://www.zomato.com/pune/tirangi-rassa-missal-restaurant-cafe-baner,"Tirangi Rassa Missal & Restaurant Cafe
                                    ",Quick Bites,Baner,3.6,7,3.8,27,"Street Food,",150,
https://www.zomato.com/pune/alpona-bengali-hotel-and-sweets-viman-nagar,"Alpona Bengali Hotel and Sweets
                                    ",Quick Bites,Viman Nagar,3.1,30,3.6,553,"Bengali,",300,
https://www.zomato.com/pune/smokin-joes-jm-road,"Smokin' Joe's
                                    ",Quick Bites,JM Road,3,304,3.7,2853,"Fast Food,Pizza,",600,"Pizza, Chicken Salad, Veg Supreme, Deluxe Margherita, Garlic Bread, Tandoori Paneer, Fries"
https://www.zomato.com/pune/j-jas-eatery-kothrud,"J Jas Eatery
                                    ",Quick Bites,Kothrud,,,,,"Asian,Continental,North Indian,",300,
https://www.zomato.com/pune/meghdoots-kondhwa,"Meghdoot's
                                    ",Casual Dining,Kondhwa,3.7,455,4,1669,"Beverages,Chinese,North Indian,",800,"Pav Bhaji, Rumali Masala Papad, Pizza Parantha, Paneer Tikka Masala, Fried Rice, Paratha, Dal Tadka"
https://www.zomato.com/pune/vjs-curry-culture-pashan,"VJ's Curry Culture
                                    ",Quick Bites,Pashan,3.8,26,,,"North Indian,",300,
https://www.zomato.com/pune/prasanna-pure-veg-pashan,"Prasanna Pure Veg
                                    ",Quick Bites,Pashan,3.8,324,,,"Chinese,North Indian,South Indian,",450,"Dal Tadka, Pav Bhaji, Panneer Butter Masala, Dal Fry, Thali, Idli, Medu Vada"
